,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
MFAP4,23798
WEE1,2130
MAPK7,1150
PRKCB,1664
HDGFL3,1854
NDST2,22
MCM7,3537
CLEC3A,0
CCDC68,1586
CLEC4E,466
ZNF3,1193
CLEC4D,21
ZSCAN21,147
RIMKLB,2874
A2ML1,6
BEAN1,155
TK2,1692
TMED3,2643
SLC38A8,0
SEC11C,1665
CPLX4,0
GALR1,0
TMEM135,1392
IQCD,99
NDEL1,3482
CENPV,390
CDH16,27
RRAD,1868
CIAO2B,2100
CFAP52,154
HSP90B1,15768
MC4R,0
BLCAP,3930
SERPINB12,1
CHRFAM7A,24
ATF7IP2,755
MMP10,2
TVP23A,145
BEX3,3837
TMPRSS5,70
COG1,1483
PLEKHA7,1883
ZNF606,624
ZCCHC18,49
B2M,242626
ZNF592,3335
GOLM2,4285
HTR3A,4
NNMT,4389
ACSM1,31
AP1G1,6394
SLFN5,6514
CATSPER2,249
BMERB1,396
MARF1,5449
SAAL1,389
YPEL4,117
PPIB,2460
LDHC,4
CIAO2A,1825
LDHAL6A,16
FAM111A,5370
PCLAF,54
KIF7,263
LDHD,916
PLIN1,45
PEX11A,492
TMEM170A,1518
MESP1,64
ANPEP,2895
SCNN1G,647
RBPMS2,219
NAV2,3901
ANKDD1A,528
GLYATL1,6
C18orf54,221
DCTN5,2478
TERF2IP,3420
PLK1,175
CLPX,2224
GPR182,42
ZBTB39,481
CACNG2,0
TAC3,3
MYO1A,59
CHP2,1
NEMP1,1354
OR4D6,0
NAB2,1876
VPS39,6231
STAT6,13755
PATL1,2354
ATP23,241
ELFN2,340
STX3,4827
MRPL16,1383
PIP4K2C,2365
MTMR10,2913
YWHAB,14509
C15orf48,81
SCG5,16
GREM1,32
NYAP1,38
TSC22D4,4444
MS4A6E,14
MS4A7,9271
MS4A14,830
MS4A5,0
DIS3L,1695
CCNDBP1,3040
EPB42,2
TGM6,0
SMAD3,4008
MS4A8,317
CCDC178,4
MS4A15,3303
MAP1A,423
RCCD1,482
AKTIP,1284
MAPRE2,4051
EVA1C,606
TCP10L2,1
MARS1,3739
MBD6,4418
CNPY4,476
PDIA3,12035
NUDT21,3561
NAT16,1
TERB2,0
NKX3-1,74
SGSM1,368
DUSP18,318
TEF,1527
MEI1,350
B4GALNT2,41
PBX3,1994
GNGT2,210
PHB,1410
SNRPD1,847
TTC16,148
SUN5,0
SAMD14,293
PIP5KL1,264
BPIFB6,0
TMEM92,208
FAM102A,4287
ACSF2,4271
GOLGA2,4652
TRUB2,990
COQ4,3034
SLC27A4,1346
ANKRD40CL,0
URM1,2417
CERCAM,1252
DOLPP1,595
CCDC103,0
ENDOG,58
TBC1D21,0
PRRX2,42
UGT1A6,0
C15orf39,1613
ISLR2,44
SP2,1975
PRR15L,1570
COQ7,964
GPRC5B,954
CRK,4437
C16orf92,1
GOLGA6C,0
FBXO22,807
TBC1D2B,5472
NOD2,495
SNX20,883
LOXHD1,134
KATNAL2,173
HDHD2,123
ZNF91,1247
IGF2,11
RNF214,784
CDK12,2972
DPEP2,1463
DUS2,818
POP5,724
ENGASE,5783
RBFOX3,23
ATP5MG,1022
CD3D,686
TBC1D16,1863
TEPSIN,827
MYO5B,2270
ART5,53
ACAA2,2655
STIM1,3329
RRM1,1440
OR51E2,1
TRIM68,822
MMP26,0
OR51B5,12
OR51I1,1
OR51Q1,1
FN3K,1322
PRRT2,570
ZNF23,77
IRGQ,1601
ZNF226,1084
ZNF180,446
PPP2R3B,988
PPP2R3B,0
ZNF668,172
ZNF646,1441
VKORC1,226
GNG8,13
LPO,3
CA4,1881
SMG8,447
TPM4,20384
RAB8A,745
GPX4,11869
MIDN,5088
JSRP1,43
NIBAN3,235
KLHL26,689
GATAD2A,4684
MVD,2052
CDT1,124
TRAPPC2L,1407
ANKRD11,6603
SPATA33,297
RSKR,347
PROCA1,289
RPL13,36377
ZNF641,1737
LALBA,0
CACNB3,665
DHRS13,76
TP53I13,2640
KMT2D,8103
CORO6,350
RHEBL1,47
TUBA1A,6636
TUBA1C,1188
ZNF610,138
ZNF528,1162
ZNF701,477
SERTAD3,1265
NCKAP5L,3222
RAB4B,112
AQP2,2
GPD1,1314
PROSER3,662
CYP2S1,1173
AXL,4259
NFKBID,845
TMC4,3754
ANKRD33,2
LAIR1,5892
TTYH1,20
LENG8,24405
CDC42EP5,295
LAIR2,21
TMEM145,24
ZNF526,427
TRAPPC9,2142
KIR3DL1,29
NLRP7,31
ZNF146,2970
ZNF283,274
PPP1R14A,1181
SPINT2,2995
C19orf33,0
YIF1B,1815
DNAAF3,91
PSCA,24
ATCAY,0
LY6D,1
DAPK3,2883
EEF2,105224
TMIGD2,90
CHAF1A,579
UBXN6,6395
HDGFL2,2641
PLIN4,244
SEMA6B,652
ZNF444,2514
NXN,3858
TLCD3A,578
GLOD4,2745
MFSD3,741
GPT,81
KIFC2,1446
SLC43A2,4403
RILP,1487
SERPINF2,730
WDR81,3931
SRR,129
TSR1,841
TRPV3,47
HSD11B1L,231
CYB5D2,904
GGT6,489
KLK1,6
KLK4,1
KLK2,0
KLK5,273
KLK6,0
KLK11,469
KLK13,32
ZNF83,3858
KRT80,210
KRT1,10
ACER1,3
OTUB1,3728
RCOR2,49
ANGPTL4,456
AC010323.1,3
CD320,973
SPRYD3,3113
IGFBP6,390
SOAT2,29
ZNF558,1128
CABP2,0
NDUFV1,6624
CDK2AP2,2991
NUDT8,226
TBX10,1
AC011511.1,1
PRDX2,2274
OR8J3,0
OR5I1,0
ZNF232,285
MIS12,883
CD300C,557
CD300A,1272
TEKT1,248
HID1,2537
MRPL58,517
ATP5PD,1957
TMEM88,393
EVPL,5052
SRP68,3779
MGAT5B,71
TMC8,4174
TK1,402
TMEM68,1166
CYP7A1,13
GSDMA,80
KRT24,1
GHDC,2441
FAM234A,4561
SOST,1
ZNF598,1617
RAB26,27
MLST8,1606
E4F1,1916
DNASE1L2,37
ECI1,1691
CASKIN1,8
ABCA3,24258
KCTD5,1660
SRRM2,68564
ZNF597,405
NLRC3,1454
SDHAF2,281
DDB1,8583
VPS37C,1863
VWCE,38
RAB3IL1,487
BEST1,414
FTH1,2530
BSCL2,88
POLR2G,1737
SLC3A2,7850
PLAAT5,202
SPINDOC,798
ATG16L2,6100
C2CD3,1623
TRANK1,3812
TTC21A,652
RPSA,16603
ENTPD3,489
CTNNB1,18564
ULK4,310
FADD,62
LTBP3,12228
NAALADL1,270
SAC3D1,298
BATF2,620
SLC22A11,2
SF1,13898
MAP4K2,2997
MAJIN,5
CCDC88B,4506
SCARA3,1871
PBK,29
SCARA5,491
PNOC,18
COPS6,2733
PAFAH1B2,4532
ANKS3,1171
NUDT16L1,958
KIAA1586,343
RAB4A,1892
OR1F1,0
OR2B2,0
KCNJ4,0
SETD5,6271
VASN,2078
FAM83B,9
H3-4,4
THAP9,260
OR2C1,1
RNF187,4008
HOOK3,3773
MAPK1IP1L,4487
DDIT4,1896
RBPJ,6281
LMBRD1,3877
ZCCHC4,524
PTGDR,278
TTC39C,935
GLYCTK,339
GNG4,4
UBTD2,1326
POLR2J3,77
NKIRAS2,1808
DNAJC7,2606
KCNV2,7
IRF2BP2,9691
PTF1A,1
NT5DC2,1557
FOXI1,4
SMIM4,340
COA6,338
KIF5C,106
MGAT2,7
BMI1,1758
THAP11,1050
MMADHC,2330
PDHB,1724
PXK,1203
H1-4,5
PCMTD1,4968
KCTD6,291
MPLKIP,943
ACOX2,618
FAM107A,3104
IRF2,2642
MOBP,1
CX3CR1,629
PPDPFL,0
XIRP1,7
INSM2,0
DEGS2,216
SCN11A,72
ARF4,7166
SEPTIN2,16048
FILIP1L,2863
MFSD2A,3777
DTYMK,666
TAP1,5863
ING5,2614
ATG4B,4674
BDKRB2,151
MLKL,1666
RFWD3,1138
MTNR1A,0
KCNG4,0
RHOH,744
KLHL30,165
COG7,1354
CDC40,1160
STIP1,3808
SCNN1B,2834
HR,114
TXNDC2,2
RAB31,6677
REEP4,1721
TNXB,6633
LGI3,3263
SFTPC,870424
BMP1,4591
ATXN2L,7433
PHYHIP,43
CCDC110,48
POLR3D,919
FEN1,439
CAVIN2,14212
MTCL1,328
GBX2,2
HJV,3
SCGB1D1,0
HEXIM2,111
FNTA,2144
SERINC2,2434
MYL1,2
TRAPPC11,2255
CHRM1,120
COL3A1,13602
GFRA2,320
ING2,466
CDKN2AIP,1242
SNRNP48,880
TMEM223,465
SLC20A2,1980
CRYGA,0
DYNLRB2,53
TMUB2,2960
ADAM29,18
STAT3,12675
ZSWIM1,484
ADAM9,7813
ADAM18,0
GDNF,0
MUCL3,688
WFDC13,10
AXIN2,2245
NDUFS5,1899
VWA3B,181
ZNF30,195
UGT3A2,4
LRATD2,2135
LDLRAD4,1048
KCTD19,95
SLC16A4,1132
IL7R,13328
TMEM208,1145
LRP1B,6
WFDC12,31
AHCYL1,7558
DNAJC21,2678
PKIG,3198
NPNT,16426
CA7,2
FAM178B,21
TSPY2,0
SEMA4C,2528
CNNM3,2718
GSTM4,1129
TET2,2164
CXXC4,127
TCTN2,828
SHOX2,2
PPIP5K1,471
TSPAN5,706
ABHD15,895
ZBTB5,1109
CHTF8,44
ADAL,424
LCMT2,403
SNTB2,2451
IL12A,95
ZNF507,1261
STX18,1592
NSG1,100
ZBTB49,330
GFM1,1783
OR13J1,2
HTR1E,1
FSTL5,0
DDX19A,615
ATOH8,3586
SOX14,1
ANKRD49,673
SFTPB,696341
USP39,2086
TNIP2,1811
C2orf68,2393
TMEM150A,1811
RNF181,1903
VAMP5,2463
BTNL3,7
LRRC28,758
MAT2A,6576
PLA2G4F,3068
ENHO,21
ZNF608,3027
SLC35G2,281
INPP5D,4220
LETM1,2301
CTRB1,2
CTRB2,5
TRIM49,0
TMEM129,2907
PPIC,745
SPRY3,278
CEP120,1766
STXBP6,1895
TM4SF20,2
MFF,1967
GRM5,5
LGALS9,5463
JMJD7-PLA2G4B,674
CPLX1,234
PXDC1,3013
SIGLEC7,373
NTSR2,0
E2F6,418
FEM1B,3347
COMMD8,702
ATP5ME,191
UQCRFS1,1666
SLC49A3,1200
COL4A3,4443
MAP2K1,2362
KLK7,1077
HNRNPH1,26678
IRS1,1934
MECP2,4743
VCX3A,0
UPF3A,2256
ZBBX,139
ACTBL2,0
ROR2,276
AR,779
DHRSX,918
DHRSX,0
VXN,6
HSPBAP1,1116
ASMTL,1265
ASMTL,0
SLC25A6,23997
SLC25A6,0
CHST14,1184
PARM1,5557
CSNK1G1,1096
FAM110B,383
ARMC4,156
AFAP1L2,1161
ZNF354A,564
ATF5,874
UBE2V2,1747
GOT1L1,0
ZBTB43,1254
CPT1C,195
PCSK9,768
XPO6,5018
GSG1L,2
MN1,404
APEX2,1239
NSMCE1,1613
CCDC126,437
IL13,4
NPIPB12,30
OR10G3,0
RAB3B,9
OR6F1,0
CD2BP2,3425
RSPO1,254
RGS14,1159
TBC1D10B,3235
LMAN2,6099
GCSAML,91
RAB24,204
PRELID1,489
THBS3,1554
CA5B,707
SLC50A1,1285
EFNA1,10101
CXCL10,1155
NPIPB3,182
SH3TC2,55
CXCL11,344
ZRSR2,1287
NMD3,2189
ADRB2,1783
B3GALNT1,1742
GPRIN1,59
HSPB3,15
KCNAB1,269
MRPL1,656
SHE,1942
NR0B1,0
PGM2,1124
STK32A,439
IL1RAPL1,0
P2RY12,226
C22orf15,66
OR5AU1,1
MINAR1,56
PDILT,0
UMOD,0
GP2,6
SLC33A1,1112
SNUPN,255
CRADD,361
SIN3A,3713
ARL13B,1228
RNASE2,22
ELSPBP1,0
RNASE3,1
PTK2,4726
RSPH10B2,10
PTAFR,4842
PTPN9,2164
RNASE6,1118
NPR1,2387
KCNK9,4
CXCL8,1010
SCN9A,541
RASSF6,251
COL22A1,40
SDC2,4469
CD52,5079
MMGT1,1918
SPRR1B,0
SPRR1A,0
OR4K14,0
OR4K15,0
TM2D2,1815
HTRA4,645
PLEKHA2,3266
CLIC4,11893
SLC38A11,26
GPR183,2028
CRCT1,0
CCDC8,761
METTL15,673
ZNF280A,0
MUC15,975
CT55,2
ZEB2,7907
GJB1,286
PCBP1,174
HINT1,6432
DTWD2,568
VPREB1,0
CLIC3,3936
INO80E,4458
BNC1,2
DFFB,486
NFU1,971
ANTXR1,6586
GKN1,2
CKAP2L,48
C15orf40,1055
RAMAC,103
PROKR1,1
APLF,205
BOLA2B,11
RGPD8,184
HIC2,410
LUZP1,2111
HEXD,3219
DRD5,1
BUB1,185
SPNS1,120
LRRC45,1101
CHRNA5,4
MT1B,0
CENPX,1012
AGPAT2,3871
ASPSCR1,2778
GP9,13
FASN,13686
CNBP,13955
MT1E,1005
ACTRT2,0
DUS1L,3939
GPS1,4484
RFNG,2127
DCXR,1916
ZNF32,621
LDB2,3439
RAC3,200
NRG4,41
LIMS1,4640
TMEM266,144
NLGN1,13
TAPT1,3150
PRYP3,0
UGP2,4235
TAS2R1,0
LINGO1,63
PRY,0
RBMY1F,0
PRY2,0
HNRNPF,8314
BTD,1932
CSGALNACT2,2711
TACR3,7
GSX1,0
PCDH7,305
ROBO1,1966
ONECUT1,2
AVEN,310
P2RY1,1025
CTNND2,90
TRIM56,6156
MUC17,0
AHSP,0
WNT10B,98
CALML6,33
REPS2,1924
MUC3A,297
SYAP1,2596
ITGAM,4445
PYDC1,0
TPST1,514
TM4SF4,150
TOR1AIP2,4403
S100G,0
TM4SF1,10104
OTUD3,1361
OTUD7A,196
GUSB,5559
BRD3,1712
KLF13,8729
FRMPD4,2
ZFPM2,421
ZNF764,474
HSFY2,0
ZNF747,393
ZNF768,1428
TAS1R3,80
TMEM42,741
MAP3K2,4207
PUSL1,258
SF3B5,2254
ZNF35,204
TIGD4,16
IFFO2,1645
NLGN2,1194
MYO7B,591
CHD3,12011
TMEM154,545
MYRIP,64
ALCAM,11216
YWHAG,5942
UBE2E3,1622
CNTROB,3420
TRAPPC1,2047
ZPLD1,4
KCNAB3,218
SERPINA9,4
FAM153A,168
GPR37L1,4
SIMC1,515
TMEM192,1605
NSG2,3
SPDYE5,42
SERPINA6,4
ZNF778,421
NIPA1,1190
FOXD4,36
GPR25,56
UBE2E1,923
HNRNPA3,11703
SIK2,4729
AL391987.1,0
RNF150,470
CCDC144A,117
VGLL2,0
HOXD4,9
CHRNB1,353
HOXD12,0
GYPA,4
USP38,1968
SLC16A5,3530
NANP,257
ANKK1,75
ADRA1B,77
ADPRM,377
FABP6,89
PWWP2A,1497
USP50,86
USP47,2767
PDCD6IP,9903
MRGPRX1,0
ZNF212,880
MRAP,2
FAM161A,262
ZNF282,1832
GLB1,4082
GON7,397
FAXDC2,4634
CRTAP,9555
HSPB2,1
C7orf33,0
CNGB3,10
SLN,4
ELP5,1033
CMTM8,893
GABARAP,15
LGALS9B,17
STX8,1051
CDK1,274
UBB,4305
NFRKB,2351
FABP4,668
FRMPD2,34
PRDM10,710
B3GNT2,2888
FOS,41978
TMED10,11715
SETMAR,687
SMAD1,896
CST5,110
CST2,0
EMX2,0
CST1,2
SP7,1
TCAF2,331
SEMA3E,643
LRRN2,225
SLC30A1,1040
DCLK2,540
ZNF804A,94
GPRC5C,2786
TMEM182,110
VSTM2A,0
KRT8,10633
KRT78,0
ADORA2B,210
SDR9C7,2
MGMT,828
METTL7B,62
KRT86,45
HARS1,2278
NFXL1,423
KRT75,1
DENND5B,440
CD14,7803
DNAJC18,929
KRT6C,1
RIOX1,440
SPATA24,73
RALGAPB,3634
PYM1,1043
MZB1,815
KRT4,1638
SLC23A1,71
KRT74,0
NPAS2,467
KRT72,26
KISS1,20
LONRF2,396
NUDT9,1879
HSD17B13,160
PA2G4,2242
COX7B2,0
ELOVL6,235
KRT83,0
PFKFB3,9176
TMC7,595
ARL6IP1,5612
SERPINB9,2173
SMAGP,570
IRX1,257
CDH2,48
IRX2,3606
EMB,2871
SIX2,4
DLGAP1,91
STAT2,9433
NUDCD2,1107
IRF2BP1,1123
OR9K2,0
HSPA4,3629
FOXA3,31
FAM71B,0
SLC26A5,38
COMMD5,1069
SGCD,620
GTSF1,40
ZNF16,314
ARMC10,1239
RNF34,1132
ACYP2,453
TRABD,2601
ATF7,2263
RASA4B,155
SOCS6,1644
CAVIN4,32
OR10A3,8
ZNF296,86
HOXB9,10
TTLL6,100
POLH,1890
SYT9,6
KCNS3,2627
RBMXL2,6
KIF5B,8959
GPR37,38
AKAP13,13547
TPD52L3,0
CDCA4,328
OR10A4,0
SDR16C5,2262
DYDC1,4
OR10A2,1
CHCHD7,1197
HTRA3,2341
FOXN2,1647
LMOD2,1
BFSP2,10
FSHR,0
USP32,2458
CEL,32
PPM1D,1137
GPR27,123
AC093323.1,708
PSG6,0
KBTBD2,3420
RIOX2,614
TRIAP1,728
LSM3,1240
KIAA0232,2731
MTSS1,2005
TMEM43,5764
RNF139,1667
RPS9,31485
PLA2G1B,315
CYTL1,74
TSEN34,1812
TRH,2
GSTA4,1852
MSANTD4,886
NDUFA3,1402
OSCAR,2481
PAQR8,1448
NUDT6,222
OR7G3,0
TANC2,3029
OR7G2,0
TEX13B,0
PKHD1,125
OR1M1,1
NCBP2L,9
DNAJC24,647
MBD3L1,0
ZNF160,2271
PGK2,0
OR8B12,0
ZNF415,266
CAVIN3,237
CEACAM3,54
DCDC1,47
HAS2,333
PDGFD,177
PLAC1,1
DDI1,1
S1PR1,5825
HS6ST2,92
OR4D5,0
PYGO1,536
LRRC8E,23
PKIA,678
XKR6,130
TSNARE1,1244
FPR2,170
FPR1,1196
PATE1,0
OR13H1,0
FEZ2,2671
SOX7,1150
C8orf74,0
C11orf24,1104
ALK,283
KYAT1,8
MTM1,1425
OBP2B,5
TRMT61B,367
INSR,2423
MFN1,1993
GIMAP8,4114
HSFX1,1
NRTN,23
KCNMB3,104
FUT3,191
KCNG3,19
ATP6V0E2,883
PRKCE,2018
OR2K2,0
JAGN1,1296
RLN3,2
TADA3,3235
SOCS5,1264
C1GALT1C1,942
C9orf16,1554
MORN4,335
ZNF672,2287
ZNF692,2082
NAIF1,496
RBKS,145
OR2M4,0
GRIK1,37
MUC7,0
OPRPN,0
SMR3B,0
TMEM126A,479
TMEM126B,1485
TRIM8,8697
NETO2,274
CSN3,0
CLDN20,35
CDC42BPG,3319
SCAND1,1677
JUNB,9417
FAM241B,240
TMEM37,2311
UGT2B7,28
LRG1,1105
SHCBP1,135
SOSTDC1,2070
NPTX1,78
FAM98B,1561
ZNF439,617
ZNF440,939
GAA,13809
CANT1,2547
KCNK3,3910
ZDHHC16,1926
CHST11,3327
EXOSC1,832
PGAM1,1097
CHD7,1532
ESCO2,35
KRT19,12709
KRT15,312
LURAP1,85
KRT38,0
CLCN5,1283
TPPP,1666
KCND3,337
APLN,1750
KRTAP4-4,0
KRT13,62
XAGE3,8
KRT9,0
XAGE5,0
PDE7B,234
MRPL36,338
ZNF581,611
NAT1,186
KRT20,1
GLOD5,66
KSR2,90
ZNF524,885
MCC,1453
KRT27,26
ZBTB26,547
CDK5R2,1
DSEL,528
POLR1C,582
ASXL1,6115
OR1L6,1
DLK2,84
ZNF562,1212
ZNF318,1651
ZNF561,1249
WIPF2,3691
HOPX,10808
SPACA5B,0
OR1L3,0
NLRP5,1
LRRC8C,2328
SPACA5,0
RSL1D1,5033
LRRC8D,1204
MROH2B,8
OR1L8,29
PPID,1153
OR1N2,0
COL24A1,46
ETFDH,1147
OR1N1,1
RXFP1,525
LPAR3,113
PTGER4,3093
TBCA,2014
NEUROD2,11
MAP6,352
OTP,3
ECEL1,5
BCL2L1,5043
FGG,111
FGA,27
OR2AT4,1
FGB,1
PLRG1,1984
RAB4B-EGLN2,0
ZNF584,241
DSCAM,3
DNAI2,155
NMUR1,481
CLSTN1,8833
CXXC5,1847
ZNF274,1937
PIK3CD,4078
PTCRA,163
SLC25A33,306
ENC1,2044
SPSB1,950
P2RY6,216
BPTF,4166
S100Z,39
ZIK1,283
GPR82,55
GPR34,729
PLEKHG5,1151
ATF7IP,4976
LKAAEAR1,1
RGS19,1375
TCEA2,1702
DEFB4A,1
ANO5,239
HDAC3,1945
SPATA46,10
GPHN,797
VAT1L,25
TMEM51,1007
CAMTA1,1205
LGALS4,189
LRRC34,133
PAH,0
SPATA5L1,359
GATM,660
SYCE1,0
NXNL1,0
RASGRP4,606
NHLH1,13
SLFNL1,110
BCL2,986
RHNO1,892
CTPS1,1040
UTF1,2
KNDC1,1180
WDR87,1
METTL18,228
CFAP46,268
COL8A2,1649
PWWP2B,1841
PCDHB1,13
ZNF540,285
ANGPTL7,81
FBXL14,647
EXOSC10,2271
ZNF570,386
NINJ2,989
MLLT3,1203
FAM90A1,50
RRM2,273
TRAPPC12,2405
IFNB1,0
RPS21,9691
C3AR1,2048
MRM3,379
PTEN,5447
RPS7,12852
PRND,45
RNASEH1,1314
PRNP,6691
KLF17,24
ADRA1D,127
FRMD5,35
AQP4,30296
CYP4F11,28
TLN2,561
LGALS9C,28
TVP23B,665
FBXW10,11
OR10H3,0
ZNF217,2508
OR10H2,0
SRGAP2C,624
OR52A5,0
SCG2,30
ATPAF2,594
CYP4F22,67
FOXB1,10
PPIH,787
DRC3,529
ZNF57,14
SHLD1,204
JMJD1C,4303
LDHAL6B,0
SYNPO,10484
ZNF556,1
MAL,773
ZNF554,437
RAB33B,790
THOP1,1347
ANKRD20A4P,12
REG3A,0
GAP43,1
REG1B,0
EPHX4,46
LAMB2,18095
USP19,4198
QARS1,8311
ORMDL3,4192
SERF1A,0
KLF11,1626
LRRC15,825
SMN1,185
EIF2AK3,985
TEX37,0
MOB3A,3618
KRCC1,1786
NME6,1014
CYCS,2498
CD8B,355
SLFN12,452
CALB2,41
SLC9C1,93
OR1A1,0
OR1A2,0
OR8I2,0
LCE1D,0
CCL11,46
FRMD3,460
SNTB1,2823
MTBP,164
TEFM,181
MRPL13,827
MALT1,1745
PRL,3
ISG20,1289
OR4C11,0
MBOAT1,1919
OR8U1,0
ID4,4708
OR4X2,0
GPR22,7
CXCR6,1619
CEBPB,3737
AZU1,59
TPSAB1,2112
ATOH1,0
PAIP1,1754
CLEC7A,4650
C5orf34,50
C1QTNF4,13
NEGR1,620
ZNF131,1197
MACROD2,598
DPAGT1,1617
BSG,20553
HINFP,1108
CDY1,0
OR10V1,0
CERS6,546
SPTLC3,1296
COPRS,1018
TP53RK,648
B3GALT1,16
OR5A1,0
CLEC12A,1092
OR5A2,0
BPGM,902
POP7,580
ALG14,386
SUCLG2,2691
STARD5,77
CSDC2,487
RCAN2,789
IL16,2244
ABCG4,24
CDY1B,0
GNB2,9363
CFAP53,130
OR5B12,0
OR5B2,0
MCRIP2,1103
PDZD3,10
C2CD2L,1671
OR9I1,0
ARNT2,1034
GNG12,3376
PRSS27,146
MYOZ2,7
SYNPO2,1542
DNAJB7,8
CLP1,393
INSL5,1
EFCAB3,3
TTC36,5
RSPH9,103
COPS9,1052
GTPBP2,3842
FGGY,536
OR9G4,0
IL17D,127
OR5AR1,0
FUT9,0
OR5AP2,0
TCEAL1,870
ZNF24,4173
HSFY1,0
MANEA,1019
RAB40A,146
MAB21L4,1563
AGXT,0
OR8J1,0
OR5T3,0
AFF1,6596
ACOT12,1
FIBP,1782
CARNS1,118
OR10H5,2
BANP,635
PPP1CA,5193
HCFC1,5676
FAM170B,0
CTSW,1103
NIPAL4,15
MUCL1,0
SNTG2,12
FNDC9,0
PDE3A,643
RASGRP1,769
KLHL6,2930
CHCHD1,920
MRPL52,1139
SMPDL3A,1261
RND1,945
RAD9A,1188
EFEMP2,3755
OR10AD1,12
AGAP5,14
WASHC2C,1986
TMEM134,1756
ZMAT3,1156
ZFAND4,506
THEMIS,645
MOS,0
ZNF738,453
MS4A10,0
SLFN11,4522
FAM71D,8
CCL19,886
CORO1B,5117
FUT10,401
LRRC20,594
MUS81,1865
PURG,21
TMEM217,25
OR4D9,0
ZNF596,249
COL6A5,1217
CFL1,21601
TMCC1,2304
NAA16,1154
OR5B3,0
EFCAB12,182
OR10W1,0
PSME3IP1,3357
RAB43,93
FADS6,2
CBWD1,390
HOXC5,0
RAB37,771
DCP2,2741
SNX32,26
RPL38,9532
CYP7B1,1326
OVOL1,13
RARG,2125
CES4A,344
CES3,221
SSH3,2277
CES2,1840
PDP2,701
SP3,4504
KRT2,0
DMXL1,2680
METAP1D,322
ZNF621,2103
EGFL7,7541
NADSYN1,5068
DHCR7,1033
LVRN,15
NBEA,426
RNASEH2C,1326
MYEOV,7
ANKRD13D,3060
MRGPRF,402
MYD88,4224
MRGPRD,0
OXSR1,2691
SLC22A13,1
PHF8,2079
LCLAT1,522
ADH6,19
XKR3,22
FRG2C,0
KAT5,691
SH3RF3,798
GXYLT2,563
HPSE2,61
DCAKD,1265
ARPP21,0
TADA2B,2012
CCDC96,103
GRK2,10485
RELA,4789
EVC2,345
ZNF680,740
HECTD4,4478
FAM222B,1363
BNC2,539
RXFP4,8
HPSE,436
COQ2,675
CCDC63,4
HSPA6,387
TRMT112,3007
LRRN3,979
KDM2A,8136
ACSM6,8
ADCK5,639
MRPL57,1489
NOC3L,784
ESRRA,1867
RHOD,461
ADAMTS20,1
COMMD1,714
RAPH1,313
MTX1,501
ADCY5,434
PARP14,13239
CYSLTR1,471
PARP15,1291
CKS1B,266
ABCD2,161
ABLIM3,1886
MAB21L3,4
TUBB8B,5
MFSD4B,752
VANGL1,751
GLRX,3255
IQCB1,975
SYT12,74
GOLGB1,7828
C11orf86,1
LIPM,0
GPR151,2
DMRT2,96
ZNF483,757
PLAC8L1,20
SLC2A14,7
GPR137,1465
SNCG,189
MMRN2,2879
MZT2A,756
TNKS,2293
ZNF449,640
ZBTB21,1052
PPP1R3B,2063
OR10K1,0
GPR148,0
STOX2,735
MAP3K11,7971
TRIB1,5007
CST9,0
KCNK7,53
SFT2D3,0
AC097637.1,0
C1QB,29741
C1QA,27518
NDNF,13594
IQCF1,0
OLR1,7926
GLIPR1L1,15
DAG1,6744
INSM1,4
DAB1,34
ARV1,799
NAA20,1935
IHO1,59
RNASE8,1
SAA1,29
MICOS10,389
EHBP1L1,6973
THAP2,244
TMEM196,0
RNF26,1031
PPP1R14B,1126
RNASE11,0
ZNRD2,560
AGR3,1413
SMARCC1,3931
ZNF417,629
PTPRM,7845
FKBP2,8
VEGFB,4256
PEAK1,6780
TNFRSF10D,442
MST1,416
TNFRSF10C,59
GMPPB,787
MOB1B,2763
ZNF622,1056
CSPG4,2606
SNX33,3695
FAM166C,11
NABP1,3140
ADGRF3,43
NLRP13,0
CHD2,7616
XCR1,386
CCDC106,685
CCR9,13
CEP83,501
SULT1B1,142
NUDT4,1140
PC,522
UGT2A1,0
SCAI,1712
GPRC6A,5
NMNAT1,395
LRFN4,443
TRAPPC3L,11
APOBEC4,45
SLC19A1,6173
HSPB7,355
RCE1,824
UQCRH,2286
TAS1R1,37
HES3,0
EIF1AX,3559
SPDYE2B,5
OR1L1,0
BCLAF3,1428
PSMD1,3182
ADGRG2,311
SPATA3,0
MUC13,7
SUSD5,75
HEG1,8014
WFIKKN2,19
C11orf80,468
TOMM20,8219
C1orf100,8
AGFG1,3560
STAT5B,5574
CD7,636
TOPAZ1,0
CNP,3159
JUP,12612
HAP1,70
TDRD12,11
EIF1,23074
ENDOV,1154
RNF213,24163
TIGD3,17
KCNH6,101
MARCHF10,44
PLK3,1791
NET1,3130
DPY19L1,1957
AC013489.1,0
PHOSPHO1,46
ZNF791,1613
PHC3,4625
GPR160,1029
CBX2,252
SPTBN2,398
GOLIM4,3546
KRT28,0
RBM4B,717
ATP5MD,1226
HOXB2,398
C1QTNF1,1225
MARCHF3,228
SWSAP1,137
SLCO4C1,1652
RBM4,1118
PIFO,576
XXYLT1,612
UBXN2A,1017
RAX2,2
LRRC63,79
TCAP,75
CCS,2110
NRROS,1488
CEP19,120
