,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
RABL2B,1226
KEAP1,3353
DDX43,83
PTPRH,9
DCT,25
SLC35C2,3580
CRYBG3,1179
EPHA6,4
SCTR,1569
RFX3,1056
RIF1,2813
RAB21,3799
SLC4A4,1557
SMARCA2,7902
RDH8,0
SESN1,3253
MID2,880
DNAAF6,31
COL5A3,1731
SRCAP,231
PUM3,1035
CPB2,524
CHRNA3,24
KCNN2,95
CNOT4,1221
PSEN1,4292
CPOX,897
CLDND1,2929
MOK,578
HSP90AA1,25855
RBL1,540
DLGAP4,4161
IGSF9B,347
CFHR2,0
NDC80,101
AP4E1,996
RSBN1,1694
MAGI3,4079
CXCL2,3916
AFP,0
COL4A4,3360
TCF7,1517
OSTM1,2642
CDH7,6
IMPG2,41
PCNP,5998
EXD2,1544
ARG2,54
MEF2C,2857
PTPRC,10971
CACNA1S,49
PKP1,116
UBA5,2133
STK17B,6613
CDC14B,1019
ZNF510,630
LRP2,232
ZNF506,1319
JMJD4,157
DUSP12,595
AACS,1200
DELE1,4972
SLC13A1,0
CADPS2,2220
PCDHB4,286
PCDHA6,10
PCDHGA2,102
HSPB11,679
PHLPP1,911
ATP8B1,1372
IL12RB2,149
SMARCD3,1179
WDR70,1164
FYB1,3754
MPP4,2
STRADB,883
BZW1,2647
PGR,562
C1QTNF3,247
ME2,2373
C5orf22,987
CCNT2,2997
FAM135A,1102
COL19A1,28
EPB41L3,3339
COBLL1,3154
DLG3,1915
KCNK2,5
SERTAD4,373
TRAF5,1620
MRPL22,672
GEMIN5,1094
OPRK1,1
NFE2L1,10646
SEMA5B,120
GSK3B,3084
ITGB5,5188
ERC1,2715
XPO1,6850
RNF13,4586
TRPM3,44
PALB2,460
DOP1A,1549
LYRM2,1416
BCKDHB,932
KAT6A,3615
TUT7,1826
ULK2,3048
GRHL2,1541
TNPO1,5204
PLOD1,5788
P2RX5,127
ITGAE,1172
DIS3,2054
PIBF1,938
TDRD3,1332
NUFIP1,239
PDS5B,2171
OXCT1,817
RRAGB,992
EPYC,0
CYLD,4149
SLC27A5,194
ZNF324,403
ZNF671,544
ZNF416,154
ZNF586,759
ZNF446,264
ZNF264,2313
RPS5,18215
FAT1,3394
YTHDC1,4858
CHMP2B,2274
SMAP2,4928
PPIE,2316
ZMPSTE24,2484
STARD7,10054
NOA1,1013
REST,2208
HAL,103
SSH1,4172
GSTP1,20770
APLP2,57116
FAM234B,535
SLCO1A2,649
WBP11,3688
EIF3I,5590
NKAIN1,1
COL16A1,3337
TXLNA,3810
APOB,16
NCOA1,3621
AGBL5,1168
EFR3B,1118
